# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
19014.957871 |    5) kworker-13086  |   0.140 us    |        _raw_spin_lock_irqsave();
19014.957872 |    5) kworker-13086  |   0.140 us    |        amdgpu_ring_alloc [amdgpu]();
19014.957872 |    5) kworker-13086  |   0.150 us    |        amdgpu_fence_wait_polling [amdgpu]();
19014.957872 |    5) kworker-13086  |               |        amdgpu_ring_commit [amdgpu]() {
19014.957873 |    5) kworker-13086  |               |          mes_v11_0_ring_set_wptr [amdgpu]() {
19014.957873 |    5) kworker-13086  |               |            amdgpu_mm_wdoorbell64 [amdgpu]() {
19014.957873 |    5) kworker-13086  |   0.131 us    |              amdgpu_device_skip_hw_access [amdgpu]();
19014.957874 |    5) kworker-13086  |   0.411 us    |            }
19014.957874 |    5) kworker-13086  |   1.092 us    |          }
19014.957874 |    5) kworker-13086  |   1.432 us    |        }
19014.957874 |    5) kworker-13086  |   0.141 us    |        _raw_spin_unlock_irqrestore();
19014.957874 |    5) kworker-13086  |               |        amdgpu_fence_wait_polling [amdgpu]() {
19014.957874 |    5) kworker-13086  |               |          __const_udelay() {
19014.957875 |    5) kworker-13086  |               |            delay_halt() {
19014.957875 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957878 |    5) kworker-13086  |   2.935 us    |            }
19014.957878 |    5) kworker-13086  |   3.226 us    |          }
19014.957878 |    5) kworker-13086  |               |          __const_udelay() {
19014.957878 |    5) kworker-13086  |               |            delay_halt() {
19014.957878 |    5) kworker-13086  |   2.745 us    |              delay_halt_mwaitx();
19014.957881 |    5) kworker-13086  |   3.056 us    |            }
19014.957881 |    5) kworker-13086  |   3.336 us    |          }
19014.957881 |    5) kworker-13086  |               |          __const_udelay() {
19014.957881 |    5) kworker-13086  |               |            delay_halt() {
19014.957882 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957884 |    5) kworker-13086  |   2.935 us    |            }
19014.957885 |    5) kworker-13086  |   3.226 us    |          }
19014.957885 |    5) kworker-13086  |               |          __const_udelay() {
19014.957885 |    5) kworker-13086  |               |            delay_halt() {
19014.957885 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957888 |    5) kworker-13086  |   2.935 us    |            }
19014.957888 |    5) kworker-13086  |   3.226 us    |          }
19014.957888 |    5) kworker-13086  |               |          __const_udelay() {
19014.957888 |    5) kworker-13086  |               |            delay_halt() {
19014.957888 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957891 |    5) kworker-13086  |   2.936 us    |            }
19014.957891 |    5) kworker-13086  |   3.216 us    |          }
19014.957891 |    5) kworker-13086  |               |          __const_udelay() {
19014.957892 |    5) kworker-13086  |               |            delay_halt() {
19014.957892 |    5) kworker-13086  |   2.695 us    |              delay_halt_mwaitx();
19014.957895 |    5) kworker-13086  |   2.996 us    |            }
19014.957895 |    5) kworker-13086  |   3.276 us    |          }
19014.957895 |    5) kworker-13086  |               |          __const_udelay() {
19014.957895 |    5) kworker-13086  |               |            delay_halt() {
19014.957895 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957898 |    5) kworker-13086  |   2.935 us    |            }
19014.957898 |    5) kworker-13086  |   3.216 us    |          }
19014.957898 |    5) kworker-13086  |               |          __const_udelay() {
19014.957898 |    5) kworker-13086  |               |            delay_halt() {
19014.957899 |    5) kworker-13086  |   3.015 us    |              delay_halt_mwaitx();
19014.957902 |    5) kworker-13086  |   3.326 us    |            }
19014.957902 |    5) kworker-13086  |   3.607 us    |          }
19014.957902 |    5) kworker-13086  |               |          __const_udelay() {
19014.957902 |    5) kworker-13086  |               |            delay_halt() {
19014.957902 |    5) kworker-13086  |   2.725 us    |              delay_halt_mwaitx();
19014.957905 |    5) kworker-13086  |   3.016 us    |            }
19014.957905 |    5) kworker-13086  |   3.306 us    |          }
19014.957905 |    5) kworker-13086  |               |          __const_udelay() {
19014.957906 |    5) kworker-13086  |               |            delay_halt() {
19014.957906 |    5) kworker-13086  |   2.735 us    |              delay_halt_mwaitx();
19014.957909 |    5) kworker-13086  |   3.025 us    |            }
19014.957909 |    5) kworker-13086  |   3.316 us    |          }
19014.957909 |    5) kworker-13086  |               |          __const_udelay() {
19014.957909 |    5) kworker-13086  |               |            delay_halt() {
19014.957909 |    5) kworker-13086  |   2.645 us    |              delay_halt_mwaitx();
19014.957912 |    5) kworker-13086  |   2.946 us    |            }
19014.957912 |    5) kworker-13086  |   3.226 us    |          }
19014.957912 |    5) kworker-13086  |               |          __const_udelay() {
19014.957912 |    5) kworker-13086  |               |            delay_halt() {
19014.957913 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957915 |    5) kworker-13086  |   2.935 us    |            }
19014.957916 |    5) kworker-13086  |   3.216 us    |          }
19014.957916 |    5) kworker-13086  |               |          __const_udelay() {
19014.957916 |    5) kworker-13086  |               |            delay_halt() {
19014.957916 |    5) kworker-13086  |   2.645 us    |              delay_halt_mwaitx();
19014.957919 |    5) kworker-13086  |   3.266 us    |            }
19014.957919 |    5) kworker-13086  |   3.556 us    |          }
19014.957919 |    5) kworker-13086  |               |          __const_udelay() {
19014.957920 |    5) kworker-13086  |               |            delay_halt() {
19014.957920 |    5) kworker-13086  |   2.645 us    |              delay_halt_mwaitx();
19014.957923 |    5) kworker-13086  |   2.946 us    |            }
19014.957923 |    5) kworker-13086  |   3.226 us    |          }
19014.957923 |    5) kworker-13086  |               |          __const_udelay() {
19014.957923 |    5) kworker-13086  |               |            delay_halt() {
19014.957923 |    5) kworker-13086  |   2.645 us    |              delay_halt_mwaitx();
19014.957926 |    5) kworker-13086  |   2.936 us    |            }
19014.957926 |    5) kworker-13086  |   3.216 us    |          }
19014.957926 |    5) kworker-13086  |               |          __const_udelay() {
19014.957926 |    5) kworker-13086  |               |            delay_halt() {
19014.957927 |    5) kworker-13086  |   2.715 us    |              delay_halt_mwaitx();
19014.957929 |    5) kworker-13086  |   3.005 us    |            }
19014.957930 |    5) kworker-13086  |   3.296 us    |          }
19014.957930 |    5) kworker-13086  |               |          __const_udelay() {
19014.957930 |    5) kworker-13086  |               |            delay_halt() {
19014.957930 |    5) kworker-13086  |   2.755 us    |              delay_halt_mwaitx();
19014.957933 |    5) kworker-13086  |   3.056 us    |            }
19014.957933 |    5) kworker-13086  |   3.336 us    |          }
19014.957933 |    5) kworker-13086  |               |          __const_udelay() {
19014.957933 |    5) kworker-13086  |               |            delay_halt() {
19014.957933 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957936 |    5) kworker-13086  |   2.935 us    |            }
19014.957936 |    5) kworker-13086  |   3.226 us    |          }
19014.957937 |    5) kworker-13086  |               |          __const_udelay() {
19014.957937 |    5) kworker-13086  |               |            delay_halt() {
19014.957937 |    5) kworker-13086  |   2.645 us    |              delay_halt_mwaitx();
19014.957940 |    5) kworker-13086  |   2.946 us    |            }
19014.957940 |    5) kworker-13086  |   3.226 us    |          }
19014.957940 |    5) kworker-13086  |               |          __const_udelay() {
19014.957940 |    5) kworker-13086  |               |            delay_halt() {
19014.957940 |    5) kworker-13086  |   2.715 us    |              delay_halt_mwaitx();
19014.957943 |    5) kworker-13086  |   3.006 us    |            }
19014.957943 |    5) kworker-13086  |   3.296 us    |          }
19014.957943 |    5) kworker-13086  |               |          __const_udelay() {
19014.957944 |    5) kworker-13086  |               |            delay_halt() {
19014.957944 |    5) kworker-13086  |   2.705 us    |              delay_halt_mwaitx();
19014.957947 |    5) kworker-13086  |   3.016 us    |            }
19014.957947 |    5) kworker-13086  |   3.296 us    |          }
19014.957947 |    5) kworker-13086  |               |          __const_udelay() {
19014.957947 |    5) kworker-13086  |               |            delay_halt() {
19014.957947 |    5) kworker-13086  |   2.665 us    |              delay_halt_mwaitx();
19014.957950 |    5) kworker-13086  |   2.956 us    |            }
19014.957950 |    5) kworker-13086  |   3.246 us    |          }
19014.957950 |    5) kworker-13086  |               |          __const_udelay() {
19014.957950 |    5) kworker-13086  |               |            delay_halt() {
19014.957951 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957953 |    5) kworker-13086  |   2.925 us    |            }
19014.957953 |    5) kworker-13086  |   3.216 us    |          }
19014.957954 |    5) kworker-13086  |               |          __const_udelay() {
19014.957954 |    5) kworker-13086  |               |            delay_halt() {
19014.957954 |    5) kworker-13086  |   2.706 us    |              delay_halt_mwaitx();
19014.957957 |    5) kworker-13086  |   3.016 us    |            }
19014.957957 |    5) kworker-13086  |   3.296 us    |          }
19014.957957 |    5) kworker-13086  |               |          __const_udelay() {
19014.957957 |    5) kworker-13086  |               |            delay_halt() {
19014.957957 |    5) kworker-13086  |   2.745 us    |              delay_halt_mwaitx();
19014.957960 |    5) kworker-13086  |   3.045 us    |            }
19014.957960 |    5) kworker-13086  |   3.327 us    |          }
19014.957961 |    5) kworker-13086  |               |          __const_udelay() {
19014.957961 |    5) kworker-13086  |               |            delay_halt() {
19014.957961 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957964 |    5) kworker-13086  |   2.936 us    |            }
19014.957964 |    5) kworker-13086  |   3.216 us    |          }
19014.957964 |    5) kworker-13086  |               |          __const_udelay() {
19014.957964 |    5) kworker-13086  |               |            delay_halt() {
19014.957964 |    5) kworker-13086  |   2.635 us    |              delay_halt_mwaitx();
19014.957967 |    5) kworker-13086  |   2.936 us    |            }
19014.957967 |    5) kworker-13086  |   3.226 us    |          }
19014.957967 |    5) kworker-13086  |               |          __const_udelay() {
19014.957967 |    5) kworker-13086  |               |            delay_halt() {
19014.957968 |    5) kworker-13086  |   2.675 us    |              delay_halt_mwaitx();
19014.957970 |    5) kworker-13086  |   2.985 us    |            }
19014.957971 |    5) kworker-13086  |   3.266 us    |          }
