# tracer: nop
#
# entries-in-buffer/entries-written: 716/716   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u48:1-10321   [006] d..1. 13583.769241: amdgpu_device_wreg: 0x15bf, 0x000028f0, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769242: amdgpu_device_wreg: 0x15bf, 0x000028f1, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769243: amdgpu_device_wreg: 0x15bf, 0x000028f2, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769244: amdgpu_device_wreg: 0x15bf, 0x000028f3, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769244: amdgpu_device_wreg: 0x15bf, 0x000028f4, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769245: amdgpu_device_wreg: 0x15bf, 0x000028f5, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769246: amdgpu_device_wreg: 0x15bf, 0x000028f6, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769247: amdgpu_device_wreg: 0x15bf, 0x000028f7, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769247: amdgpu_device_wreg: 0x15bf, 0x0001a740, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769248: amdgpu_device_wreg: 0x15bf, 0x0001a741, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769248: amdgpu_device_wreg: 0x15bf, 0x0001a742, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769248: amdgpu_device_wreg: 0x15bf, 0x0001a743, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769249: amdgpu_device_wreg: 0x15bf, 0x0001a744, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769249: amdgpu_device_wreg: 0x15bf, 0x0001a745, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769249: amdgpu_device_wreg: 0x15bf, 0x0001a746, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769250: amdgpu_device_wreg: 0x15bf, 0x0001a747, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769250: amdgpu_device_wreg: 0x15bf, 0x0001a748, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769253: amdgpu_device_wreg: 0x15bf, 0x0001a749, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769253: amdgpu_device_wreg: 0x15bf, 0x0001a74a, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769254: amdgpu_device_wreg: 0x15bf, 0x0001a74b, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769254: amdgpu_device_wreg: 0x15bf, 0x0001a74c, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769254: amdgpu_device_wreg: 0x15bf, 0x0001a74d, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769254: amdgpu_device_wreg: 0x15bf, 0x0001a74e, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769255: amdgpu_device_wreg: 0x15bf, 0x0001a74f, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769260: amdgpu_device_wreg: 0x15bf, 0x0001a8f3, 0x00001818
   kworker/u48:1-10321   [006] ..... 13583.769275: amdgpu_device_wreg: 0x15bf, 0x0001a700, 0x00080e00
   kworker/u48:1-10321   [006] ..... 13583.769276: amdgpu_device_wreg: 0x15bf, 0x0001a702, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769285: amdgpu_device_wreg: 0x15bf, 0x00000de0, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769286: amdgpu_device_wreg: 0x15bf, 0x00000e15, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769295: amdgpu_device_wreg: 0x15bf, 0x0001629a, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.769296: amdgpu_device_wreg: 0x15bf, 0x00016292, 0x00000002
   kworker/u48:1-10321   [006] ..... 13583.769296: amdgpu_device_wreg: 0x15bf, 0x00016282, 0x00000011
   kworker/u48:1-10321   [005] ..... 13583.807010: amdgpu_device_wreg: 0x15bf, 0x0000000c, 0x0006a3b0
   kworker/u48:1-10321   [005] ..... 13583.807021: amdgpu_device_wreg: 0x15bf, 0x0000000c, 0x0006a3b4
   kworker/u48:1-10321   [005] ..... 13583.807032: amdgpu_device_wreg: 0x15bf, 0x00003935, 0x00008000
   kworker/u48:1-10321   [005] ..... 13583.807034: amdgpu_device_wreg: 0x15bf, 0x00003936, 0x0000807f
   kworker/u48:1-10321   [005] ..... 13583.807035: amdgpu_device_wreg: 0x15bf, 0x0000000c, 0x0006a35c
